groupid,ofe_loss_2018-23_mean,ofe_loss_2018-23_median,ofe_loss_2018-23_std,runoff_2018-2023_mean,runoff_2018-2023_median,runoff_2018-2023_std
1_1_1_Continuous Corn,0.2280333333333333,0.3375,0.2317745959619676,189.0516,183.2083,11.46157684483248
1_1_1_Continuous Soybeans,0.5595749999999999,0.74515,0.7805533527111209,335.3194625,394.3412,247.5138652425813
1_1_1_Corn rotation,-0.3566666666666667,-0.4051,0.28248143891826477,193.59333333333333,200.7688,19.72482870833948
1_1_1_Corn/Perennial,0.37273333333333336,1.1083,1.3308152175765549,482.26469999999995,581.2587,187.83315244120243
1_1_1_Corn/Soybeans,0.40909640591966173,0.557,1.2291864281620322,323.1631086680761,309.079,127.0956460261017
1_1_1_Soybeans rotation,0.020411111111111095,0.0726,0.7950370391441591,151.49811111111111,67.723,192.08238508808824
1_1_1_Soybeans/Perennial,0.5454600000000001,0.9842,1.081577594534946,425.89272,563.1298,214.19971014316755
1_1_1_Soybeans/Wheat,1.0526,1.4782,1.0235518062120745,457.50998,516.3515,114.54789694536952
1_1_2_Continuous Corn,0.5171333333333333,1.482,2.3880186410495208,292.2014,247.8047,132.68605399155555
1_1_2_Continuous Soybeans,1.2990388888888889,1.5504,1.3186153946420192,512.6824666666666,523.4796,49.775543160980064
1_1_2_Corn rotation,1.3703,1.4586,0.21772112897006574,448.8979,444.1612,39.70900032826311
1_1_2_Corn/Perennial,0.6036,0.6544,0.4408009074400822,249.90326666666667,217.4555,101.08260930873982
1_1_2_Corn/Soybeans,0.6394803533568905,1.1871,2.7751137841032425,321.39821752650175,308.893,122.01316233023584
1_1_2_Perennial rotation,1.4703,1.965,0.9050710635082749,254.23393333333334,228.1683,125.21107401146007
1_1_2_Soybeans rotation,0.33098571428571427,0.0208,1.929316159876837,338.6907,267.109,167.32561036702265
1_1_2_Soybeans/Perennial,1.0998999999999999,1.0998999999999999,0.5741707063234766,321.56235,321.56235,337.0730649761933
1_1_2_Soybeans/Wheat,0.7158,0.7158,1.4589027109440849,294.2709,294.2709,15.158813753720935
1_1_3_Corn/Soybeans,1.67508,1.67475,1.4883764008699771,220.09076,241.71085,133.95794157063872
1_2_1_Continuous Soybeans,0.781252380952381,1.0713,1.2029413741405055,409.2166619047619,442.16,144.98677718017072
1_2_1_Corn rotation,2.07425,2.07425,0.2885702774022301,576.7174,576.7174,10.624420808684143
1_2_1_Corn/Perennial,0.42325,0.85375,1.1659127178799817,362.3390625,353.1136,62.91992771299404
1_2_1_Corn/Soybeans,0.6908856020942409,0.9896,0.9203331114066751,377.4389130453752,372.99514999999997,89.36558756804851
