groupid,ofe_loss_2018-23_mean,ofe_loss_2018-23_median,ofe_loss_2018-23_std,runoff_2018-2023_mean,runoff_2018-2023_median,runoff_2018-2023_std
1_1_1_Continuous Corn,-0.07781428571428572,0.03215,0.41993255341541386,19.63824285714286,18.74175,10.334383507905326
1_1_1_Corn rotation,0.17565,0.09090000000000001,0.24167197716213304,30.641908333333333,24.83175,16.8588841637905
1_1_1_Corn/Soybeans,0.09206774193548388,0.0963,0.42528875084041173,31.997261290322584,22.8235,22.145611541667833
1_1_1_Soybeans/Wheat,-0.01394999999999999,-0.01394999999999999,0.5957374631496662,43.66775,43.66775,12.83957422210721
1_1_2_Continuous Corn,0.201525,0.25625,0.5691707622950629,38.92984873188406,35.61825,18.255539604527833
1_1_2_Corn rotation,0.19440899581589957,0.2358,0.6515089963697901,40.665266736401676,38.42535,20.21321443346638
1_1_2_Corn/Perennial,0.15110833333333332,0.16704999999999998,0.40212622494151545,34.24959722222222,31.5459,19.24354941170805
1_1_2_Corn/Soybeans,0.20556556962025319,0.2362,0.7938737601694944,43.42265772151898,39.4692,20.676586714330742
1_1_2_Perennial rotation,0.10035294117647059,0.060149999999999995,0.16247349851086504,25.43635294117647,22.66875,15.171661471912836
1_1_2_Soybeans/Wheat,0.6426666666666666,0.5384,0.44515442638856617,52.95053333333334,45.1083,15.127419206967637
1_1_3_Continuous Corn,0.542476,0.5527,0.7694634214178084,57.947748000000004,51.328,27.889721055153395
1_1_3_Corn rotation,0.238315,0.3486,1.1651190821258994,44.745981666666665,39.7549,21.767783076368335
1_1_3_Corn/Soybeans,0.8032499999999999,0.7392000000000001,1.0542467983438137,64.50465833333334,60.359,27.781827134279975
1_2_1_Continuous Corn,0.02726666666666667,0.09490000000000001,0.16223646528036373,31.41928333333333,29.9831,6.083906257797424
1_2_1_Corn rotation,0.06063333333333334,0.0754,0.04510103472575029,26.813333333333333,30.9192,7.596929996606085
1_2_1_Corn/Soybeans,0.19883333333333333,0.2252,0.25669207720535514,53.49464444444445,49.1958,24.330445353358776
1_2_1_Soybeans/Wheat,0.5065500000000001,0.5065500000000001,0.03061772362537747,65.31845,65.31845,7.01626703632352
1_2_2_Continuous Corn,0.567925322997416,0.6157,0.580223225785132,52.24011447028423,52.3048,18.934811439077414
1_2_2_Corn rotation,0.6412179810725552,0.6724,0.6009953814864661,65.45049179810725,62.5007,24.102740628486824
1_2_2_Corn/Perennial,0.2514125,0.298,0.3705165176094429,39.1707375,40.2618,19.029555619384546
1_2_2_Corn/Soybeans,0.6583281938325992,0.679,0.7102334378165683,54.34139207048458,50.8975,23.25041553555641
1_2_2_Perennial rotation,0.26591666666666663,0.1402,0.483171958692417,42.9657,47.40325,21.38306978410724
1_2_3_Continuous Corn,0.5102277777777778,0.5072,0.6895303617472125,48.950433333333336,49.209,23.625522791700853
1_2_3_Corn rotation,0.9272555555555555,1.0224,0.650714596148746,69.4961962962963,70.3235,27.665968667542575
1_2_3_Corn/Soybeans,-1.018233333333333,-0.5446,3.4036559349225257,69.31133333333334,73.2407,19.16045461421344
1_3_0_Perennial rotation,0.21173333333333333,0.2259,0.5049898186792452,35.07,35.30775,6.517154460763881
1_3_1_Continuous Corn,0.3540888888888889,0.3298,0.21399015423871984,39.19248888888889,39.0445,16.21880268811823
1_3_1_Corn rotation,0.3254142857142857,0.1865,0.6997013873278882,78.53684285714287,78.6928,47.59620399467648
1_3_1_Corn/Soybeans,0.23237179487179488,0.2619,0.46437413395752236,59.68551794871795,58.9242,23.529469826557502
1_3_1_Perennial rotation,0.06770000000000004,0.06770000000000004,0.8944900782009826,44.3813,44.3813,26.00668030526003
1_3_2_Continuous Corn,0.5656686930091185,0.62515,1.0481783453572748,52.348267477203656,49.8424,24.813752281028332
1_3_2_Corn rotation,0.609097619047619,0.6373500000000001,0.7960261536365322,74.53885833333334,70.86824999999999,32.46994972980337
1_3_2_Corn/Perennial,0.10186060606060608,0.1105,0.752993633331067,43.55570303030303,35.0997,26.119653447134937
1_3_2_Corn/Soybeans,0.5737391541609822,0.6774,1.3098512520700807,58.79712482946795,58.3637,23.660929726906243
1_3_2_Perennial rotation,0.12343749999999999,0.1605,0.4465290280378586,43.82136666666667,42.1061,23.675900265490423
1_3_3_Continuous Corn,0.6281534883720931,0.3376,1.6891099650335488,62.42295581395349,60.2765,32.595186680831254
1_3_3_Corn rotation,0.79452,0.7919,0.7151501996084458,62.967435555555554,55.382,35.3899853223155
1_3_3_Corn/Perennial,0.65565,0.65565,0.1868883222676045,24.648850000000003,24.648850000000003,5.90455375494203
1_3_3_Corn/Soybeans,0.88085,1.01545,1.068424634280739,60.17830333333334,55.949349999999995,24.51561005904666
2_1_1_Continuous Corn,0.18457142857142858,0.20029999999999998,0.3591916125210811,24.163007142857143,23.70865,10.026765190341935
2_1_1_Corn rotation,0.217025,0.2525,0.2690885608334709,38.2839625,38.851,13.603042656063332
2_1_1_Corn/Soybeans,0.29797826086956525,0.2363,0.3173321230573903,27.17228260869565,22.7243,18.439594330004613
2_1_2_Continuous Corn,0.5774776785714285,0.59415,1.1564385076651202,44.369032142857144,44.016999999999996,18.677746624324357
2_1_2_Corn rotation,0.5369361344537815,0.5779,1.0210051149965553,45.28498067226891,40.86845,19.61328246540836
2_1_2_Corn/Perennial,0.48004137931034485,0.4476,0.48718267072543997,42.60064482758621,39.5972,18.94478057563587
2_1_2_Corn/Soybeans,0.5815830188679245,0.60545,1.3437982298521887,47.10705377358491,43.7195,22.05435882385413
2_1_2_Perennial rotation,0.42195714285714286,0.3468,0.33298836827521977,32.703892857142854,30.04435,18.29958010108699
2_1_3_Continuous Corn,1.05269,1.27295,0.7811154864821349,52.386,50.24865,16.486300903207823
2_1_3_Corn rotation,0.5769562500000001,0.7130000000000001,1.4149544171544892,49.73633125,43.49995,21.16079419126226
2_2_1_Continuous Corn,-0.255,-0.255,1.0366185412194786,35.9349,35.9349,16.675557799366114
2_2_1_Corn rotation,0.113,-0.0756,0.3456278779265353,48.82363333333333,46.8393,17.037389305094056
2_2_1_Corn/Soybeans,0.45121428571428573,0.6007,0.6099478814581112,77.72257142857143,70.8173,17.41037974674057
2_2_2_Continuous Corn,1.0487755319148937,1.06285,0.8503851457201859,61.2059170212766,61.8451,20.761873395611627
2_2_2_Corn rotation,1.0960415730337079,1.1533,0.7281321472234452,74.07508764044944,73.8567,25.023152006472934
2_2_2_Corn/Perennial,1.53365,1.5725,0.7894184969541399,60.599125,72.79759999999999,25.88122190680275
2_2_2_Corn/Soybeans,1.6321816666666669,1.524,1.2093752513061244,71.42326666666666,69.32735,23.996222386900442
2_2_3_Continuous Corn,0.97515,0.97515,1.110935463922185,64.18465,64.18465,21.46118578375855
2_2_3_Corn rotation,1.5081,1.24055,0.6580499937586158,79.5947125,70.34625,31.89467387567297
2_3_0_Perennial rotation,-0.003124999999999989,0.22165,0.7548488032933041,29.562475,28.723350000000003,10.240296247789905
2_3_1_Continuous Corn,0.2991,0.2572,0.3301501628047456,33.33426666666667,40.0613,17.06892101754921
2_3_1_Corn rotation,0.44822500000000004,0.5861500000000001,0.6167719479948268,39.550974999999994,37.73235,12.662294455422893
2_3_1_Corn/Soybeans,0.7984375,0.8148,0.46362238639507763,75.8926875,76.8315,30.025704602287583
2_3_2_Continuous Corn,1.379716894977169,1.4458,2.0744593934517552,58.76634794520548,56.6853,22.42519152930867
2_3_2_Corn rotation,1.3618543252595154,1.3391,1.628842904697795,82.8160723183391,79.4348,35.648146894153534
2_3_2_Corn/Perennial,0.9920818181818182,0.9384,0.6113037572568679,67.18575454545454,57.186,44.32779444412644
2_3_2_Corn/Soybeans,1.7037299539170507,1.544,1.7486805369616854,65.92648202764977,62.9707,24.04525254375706
2_3_2_Perennial rotation,1.0795,1.405,2.2715335552221103,77.63048888888889,71.95,32.47686470267891
2_3_3_Continuous Corn,2.0882923076923077,1.7064,1.8501221736512152,76.44328461538461,85.1238,34.84846391011723
2_3_3_Corn rotation,1.8989764705882355,1.58,1.847719514539954,60.761305882352936,59.1987,23.73728201667871
2_3_3_Corn/Soybeans,-0.4591,-0.6141,1.9839328432854442,69.059475,70.16585,15.327921617400277
3_1_1_Continuous Corn,0.31139999999999995,0.1639,0.35196840483202463,24.55695454545454,18.465,18.354923753334614
3_1_1_Corn/Soybeans,0.16421666666666668,0.45294999999999996,1.057131232786797,39.648491666666665,38.291,18.466758771737954
3_1_2_Continuous Corn,1.5235660714285715,1.3841999999999999,1.1847991761210053,51.29750357142857,49.60875,19.03576008578652
3_1_2_Corn rotation,1.2382551282051282,0.92725,1.2246838309875947,50.34782948717949,46.5066,19.438074011836626
3_1_2_Corn/Perennial,0.7424454545454545,1.0817,0.5567487213521669,40.160472727272726,40.2628,11.401055146879251
3_1_2_Corn/Soybeans,1.3977590163934426,1.3582,1.3660590429378774,54.98330163934426,51.4328,20.582312903700366
3_1_2_Perennial rotation,0.736075,0.765,0.441228076886924,46.863475,48.17775,6.642887143592011
3_1_3_Continuous Corn,0.4708000000000001,0.8982,2.3333447044961018,67.7022,50.3603,35.56071306976282
