groupid,ofe_loss_2018-23_mean,ofe_loss_2018-23_median,ofe_loss_2018-23_std,runoff_2018-2023_mean,runoff_2018-2023_median,runoff_2018-2023_std
1_1_1_Continuous Soybeans,0.9009499999999999,0.9009499999999999,0.2749938272034482,430.48924999999997,430.48924999999997,85.0494601382337
1_1_1_Corn rotation,0.9160250000000001,1.0677,1.2457148132029792,224.627525,218.46099999999998,205.17816772820277
1_1_1_Corn/Soybeans,0.7700232142857143,0.8130999999999999,0.8171917222450583,317.1085642857143,363.4067,152.4139399375069
1_1_1_Perennial rotation,-0.4839,-0.4839,0.14325983386839455,349.30150000000003,349.30150000000003,30.92842634503089
1_1_1_Soybeans rotation,1.477126923076923,1.7730000000000001,1.3307804072972196,406.39967692307687,389.31745,155.63183487207058
1_1_1_Soybeans/Perennial,1.3052666666666666,1.4686,1.0079743713673148,279.3834,346.95,187.59712970373508
1_1_1_Soybeans/Wheat,1.0579,1.2064,1.2164566467134508,408.5901578947368,394.7757,146.7341815881029
1_1_2_Continuous Soybeans,0.7495,0.766,1.7754368101024232,454.746775,466.73064999999997,97.8078053059971
1_1_2_Corn rotation,1.443,1.5706,0.8235465149111021,369.74537,395.5206,53.87441685026084
1_1_2_Corn/Perennial,1.9551200000000002,1.9756,0.4910753577609043,366.79517999999996,355.3395,118.45307062057107
1_1_2_Corn/Soybeans,1.175155,1.39865,1.3616546088994474,325.7026175,353.15855,151.8736174634307
1_1_2_Perennial rotation,-0.6768599999999999,0.9316,3.1795072783373213,387.60416,385.4348,27.43234309666238
1_1_2_Soybeans rotation,1.522960606060606,2.0063,1.708378739100941,401.2718121212121,409.037,72.02219068176036
1_1_2_Soybeans/Wheat,2.090448148148148,2.1421,1.1994072004922234,407.60208518518516,408.3237,99.26422832580072
1_1_3_Corn rotation,1.9347400000000001,1.6939,1.2740924311053732,311.21927999999997,336.8917,84.39350778283836
1_1_3_Corn/Soybeans,1.7213147826086956,1.902,1.4944467126867584,351.3234295652174,350.7063,162.08472353413183
1_1_3_Soybeans rotation,2.253816666666667,3.2214,1.8279659519987417,385.31288333333333,398.92875,38.328038727512066
1_1_3_Soybeans/Wheat,2.5006928571428566,2.59575,1.6516331118317107,458.97490714285715,472.4086,76.21661017704197
1_1_4_Continuous Corn,2.2118,2.2522,0.09191768056255542,375.48152500000003,374.26335,6.307969318449496
1_1_4_Corn/Soybeans,2.5827666666666667,2.6175,1.5617896956163249,519.9582666666666,404.8755,227.44956611095859
1_1_4_Soybeans/Wheat,2.1497333333333333,2.1594,0.6060578217739074,480.7437333333334,479.6853,41.84379105558355
1_2_1_Continuous Soybeans,0.4941166666666667,-0.047850000000000004,1.2263009800479925,475.91145000000006,475.08575,169.0887053381952
1_2_1_Corn rotation,1.9098,1.6995,0.819953660275994,424.72222,395.5258,74.0725312254617
1_2_1_Corn/Perennial,1.1334,1.0125,1.4644975827907671,168.9401,127.4398,73.05357743895915
1_2_1_Corn/Soybeans,0.9537004424778761,1.20485,1.0015485172026937,352.9844756637168,352.44124999999997,85.59373629642393
1_2_1_Perennial rotation,0.42496666666666655,0.9869,1.655827917790171,358.91709999999995,353.969,105.37881347752024
1_2_1_Soybeans rotation,1.2999173076923076,1.7463,1.245423808757509,401.22084615384614,404.14070000000004,126.24995426618541
1_2_1_Soybeans/Perennial,1.3948666666666665,1.2204,0.7024421423386649,346.02276666666666,341.3725,115.39569584786656
1_2_1_Soybeans/Wheat,1.0892450980392159,1.5507,1.3942599527080632,402.41884509803924,420.8198,134.61545204757783
1_2_2_Continuous Soybeans,3.0586416666666665,3.524,1.2204415381762703,439.30483333333336,405.348,107.21337758524805
