groupid,ofe_loss_2018-23_mean,ofe_loss_2018-23_median,ofe_loss_2018-23_std,runoff_2018-2023_mean,runoff_2018-2023_median,runoff_2018-2023_std
1_1_2_Corn/Soybeans,0.13823636363636363,0.1616,0.290319363021922,260.14093636363634,322.6058,128.12579560379925
1_1_3_Corn/Perennial,0.42155,0.42155,0.45233620792503443,368.59605,368.59605,6.085714512282009
1_1_3_Corn/Soybeans,-0.038687499999999986,0.35055000000000003,1.1472513545426737,268.91671875,303.44775,135.64081889572532
1_1_3_Perennial rotation,0.251425,0.12545,0.41754998403384797,281.8368,265.9211,112.21334755732047
1_1_4_Continuous Corn,0.28759047619047623,0.4021,0.4902636177657505,242.7430285714286,288.867,99.2070941827657
1_1_4_Corn rotation,0.25086923076923073,0.1692,0.25494749258300026,184.40237692307693,108.5108,159.89338820850887
1_1_4_Corn/Perennial,0.18126101694915253,0.151,0.4354997086253229,159.10557627118644,91.0015,139.8485164138552
1_1_4_Corn/Soybeans,0.06353888888888888,0.20355,0.6126421545854999,186.0494,173.84449999999998,128.42865791727237
1_1_4_Perennial rotation,0.2831,0.2831,0.2189202594553551,191.40125,191.40125,231.9105888432113
1_1_5_Continuous Corn,0.7498666666666667,0.8358,0.3389703428521932,184.31063333333336,250.4377,133.16555583263013
1_1_5_Corn rotation,0.6861333333333334,0.6213500000000001,0.4409633801878186,254.91603333333333,307.464,102.744670035008
1_1_5_Corn/Soybeans,-0.4133,-0.3853,0.22928584779702385,87.66123333333333,86.0207,8.374199666435786
1_2_2_Corn/Soybeans,0.26502,0.2664,0.05229399583126155,194.64856,197.9103,13.745101858771367
1_2_3_Corn/Soybeans,0.18055,0.18055,0.0976514464818622,177.8361,177.8361,0.43472924907349114
1_2_4_Corn rotation,0.27045,0.27045,0.12494576823566296,22.373849999999997,22.373849999999997,8.013429019152785
1_2_4_Corn/Perennial,-0.08384999999999998,-0.08384999999999998,0.8385579318091267,36.406000000000006,36.406000000000006,21.04448775760532
1_2_4_Corn/Soybeans,0.16010000000000002,0.16010000000000002,0.027577164466275367,23.27785,23.27785,1.5080466322365498
1_3_3_Corn/Soybeans,-0.1028,-0.2443,0.3615059888853849,324.34286000000003,356.2825,80.29453284952221
1_3_4_Corn/Perennial,0.36493333333333333,0.33320000000000005,0.5051173830573114,468.10543333333334,463.4104,20.956465832450537
1_3_4_Corn/Soybeans,1.4738,1.4738,0.4490128060534575,418.2151,418.2151,9.061007715480677
1_N_4_Continuous Corn,0.8517333333333333,1.1571,0.6585791701331992,199.40593333333334,243.962,102.69953211973915
1_N_4_Corn rotation,1.246425,1.2323,0.3659201586411986,287.812675,254.82574999999997,128.68579346745767
1_N_4_Corn/Perennial,-0.03065000000000001,0.28485000000000005,1.258971625970975,182.8237333333333,212.19164999999998,75.7976655140161
1_N_4_Corn/Soybeans,0.6608,0.6327,0.4097624271046171,220.4729,206.50735,44.42469896720367
1_N_4_Perennial rotation,0.40597500000000003,0.3699,0.894481329691496,263.245175,260.871,25.70543704645316
2_1_2_Corn/Soybeans,0.6597777777777778,0.5714,0.5494897377972081,268.0971777777778,341.7588,144.80972013215978
2_1_3_Corn/Perennial,0.35635,0.1615,0.5173050463701276,132.86138333333335,23.985750000000003,182.75937586607608
2_1_3_Corn/Soybeans,0.5988,0.8321,0.6165882296962861,257.815472,318.4083,127.92715369356539
2_1_4_Continuous Corn,0.865675,0.8401000000000001,0.27670220067275014,260.2620875,327.12625,132.3641701155613
2_1_4_Corn rotation,0.62775,0.66065,0.3715099321766275,182.0498388888889,189.66735,146.23885197835097
2_1_4_Corn/Perennial,0.4385181818181818,0.43879999999999997,0.5066573289355037,142.64275227272728,75.86465000000001,128.0353516603229
2_1_4_Corn/Soybeans,0.8316268292682927,0.7844,0.9795013951047721,229.82375609756096,302.6945,136.8359973337609
2_1_4_Perennial rotation,0.8123333333333335,0.9958,0.45926008245147254,369.8829,376.0613,19.452359083669002
2_2_2_Corn/Soybeans,0.5838,0.5838,0.07990306627407986,198.56085000000002,198.56085000000002,12.032623963417123
2_2_3_Corn/Soybeans,0.5652222222222222,0.4655,0.6099514463827793,169.05667777777776,187.1097,41.65208215542104
2_2_4_Continuous Corn,1.1872,1.1872,0.02262741699796954,46.266999999999996,46.266999999999996,5.721200966580354
2_2_4_Corn/Perennial,0.02357499999999993,0.7573,2.047036139356932,86.26917499999999,30.35525,121.80082638984501
