groupid,ofe_loss_2018-23_mean,ofe_loss_2018-23_median,ofe_loss_2018-23_std,runoff_2018-2023_mean,runoff_2018-2023_median,runoff_2018-2023_std
1_1_1_Corn/Soybeans,0.6346125,0.6534,0.7769194707993505,591.6689375,615.6028,61.04237838450407
1_1_2_Corn/Soybeans,0.8534573248407643,1.3265,1.3466983861872952,529.3780535031847,539.6337,143.2251309034157
1_2_1_Continuous Soybeans,1.6102500000000002,1.6102500000000002,0.4162737620845206,682.6936499999999,682.6936499999999,36.40023074988672
1_2_1_Corn/Soybeans,0.9960636363636364,1.1897,0.76845470174654,608.6492909090908,609.3388,106.8722538075317
1_2_2_Continuous Soybeans,1.872046153846154,2.058,1.220365597963294,643.0185076923076,622.5017,51.99580728392854
1_2_2_Corn/Soybeans,1.4367505882352942,1.7459500000000001,1.4439435618651175,581.4160847058823,578.93265,98.95967419436705
1_2_2_Soybeans rotation,1.29404,1.6019999999999999,1.2396426834643388,654.61331,636.608,78.7106384952921
1_2_3_Continuous Corn,2.5005666666666664,2.5378999999999996,0.26934927263066194,554.7965166666667,555.85515,14.01589730861592
1_2_3_Corn/Soybeans,1.9970500000000002,2.5376000000000003,1.4632309239032186,564.267225,563.3808,20.045618205878142
1_3_1_Continuous Soybeans,1.0722325,1.3429,0.9491024716737281,552.7261025,528.8559,78.4184639567863
1_3_1_Corn rotation,0.8648333333333333,0.7158,1.2406815882140483,631.8209666666667,661.4635,175.1742216360996
1_3_1_Corn/Perennial,0.92055,0.92055,0.3020053062447745,388.12694999999997,388.12694999999997,8.105918586131974
1_3_1_Corn/Soybeans,1.1846156846473028,1.4687,0.9656796917909727,578.1925886307054,574.276,86.70414960621271
1_3_1_Soybeans rotation,1.0619782608695651,1.2087,0.9750557303217092,593.8616826086957,584.5508,99.71142380265822
1_3_1_Soybeans/Perennial,1.00898,1.6064,1.0060648622231072,564.7166199999999,636.641,166.90794604025595
1_3_2_Continuous Corn,1.4729583333333334,1.9278,1.3094024976246663,486.7392055555556,464.64639999999997,78.418694338287
1_3_2_Continuous Soybeans,1.9826912499999998,2.0303,1.8354754564385467,528.8916925,525.3298,68.91013274014018
1_3_2_Corn rotation,1.7740562500000001,2.3718,1.7081353340161651,514.102409375,517.31925,86.09949561479162
1_3_2_Corn/Perennial,0.5301666666666667,0.0643,0.9388376082511111,491.586,473.57185000000004,53.47799539691068
1_3_2_Corn/Soybeans,1.8645890128108515,2.2054,1.813373228754492,530.2083679276564,524.4102,88.58385837561438
1_3_2_Perennial rotation,1.945,1.80335,0.4710679710331975,502.5455,467.63725,80.03251353539596
1_3_2_Soybeans rotation,2.1011604166666666,2.68055,1.7567639559458355,575.33045625,588.9155499999999,82.32480658588234
1_3_2_Soybeans/Perennial,0.34632307692307696,0.7763,2.6505237901069814,484.47760000000005,504.7415,79.16290049466562
1_3_3_Continuous Corn,1.2733666666666668,0.256,1.6361788510123214,543.9460222222222,515.3265,144.10154674108963
1_3_3_Corn/Soybeans,2.263291666666667,2.21035,1.538906467982044,477.741875,451.2648,71.81491887617179
2_1_1_Continuous Soybeans,0.6059,0.6059,0.8854391114017948,464.44944999999996,464.44944999999996,78.45880067350632
2_1_2_Corn/Soybeans,3.9833250000000002,3.61925,1.9367892887887073,510.06095,483.25925,175.37164330694023
2_2_1_Corn/Soybeans,0.92322,0.023,1.6812823846695117,412.66798,346.5962,226.60388150344423
2_2_2_Corn/Soybeans,2.373952380952381,2.8171,1.6913706686055092,548.4954476190476,516.6148,229.2941634407571
2_3_1_Continuous Soybeans,1.3392,2.0707,1.3388134634817501,641.9685666666667,608.9722,65.44900122586536
2_3_1_Corn/Soybeans,1.433979024390244,1.9213,1.1532955452549558,590.4870829268293,581.4742,126.31648892589219
2_3_1_Perennial rotation,1.1191,1.1191,1.3457656259542372,429.40160000000003,429.40160000000003,2.263307385221892
2_3_1_Soybeans rotation,2.0248333333333335,2.1646,1.1372884847302378,629.8718333333333,587.6288,176.347031834725
2_3_1_Soybeans/Perennial,1.499925,1.8004,0.8762266646576916,570.9647625,553.11965,140.08088305804853
2_3_2_Continuous Corn,2.7231899999999998,2.8152,2.592899217928328,532.28539,530.41775,121.67930566423318
2_3_2_Continuous Soybeans,2.9564066666666666,3.0424,2.024588354444523,565.2270733333334,563.0198,110.4937301256208
2_3_2_Corn rotation,4.243385714285714,4.5661,2.82887756682668,629.3452142857143,583.9542,157.15714097352188
2_3_2_Corn/Soybeans,3.4426829560585888,3.3601,3.9314687587451513,539.7327573901465,513.7105,130.63769915661612
2_3_2_Perennial rotation,3.50915,3.28945,2.274364600644907,474.325425,476.2125,28.629560547026077
2_3_2_Soybeans rotation,5.638572727272727,3.8377,4.924424862680089,564.7194272727273,563.9828,104.81319685193358
2_3_2_Soybeans/Perennial,2.01965,2.40165,1.4458358101803952,520.799,516.84035,63.0373210227613
2_3_3_Corn/Soybeans,3.46545,3.46545,1.2472656513349516,433.10395,433.10395,16.661910638489196
3_1_1_Soybeans/Perennial,0.43032499999999996,0.36315,0.8510167345593153,514.049175,493.34074999999996,67.52325246744633
3_1_2_Corn/Soybeans,2.1610833333333335,2.21875,1.0973521575440888,348.19373333333334,405.16225,190.28384795953298
3_2_1_Corn/Soybeans,1.8913333333333335,2.0556,0.8105810590763477,389.83656666666667,289.231,175.08061753336185
3_2_2_Corn/Soybeans,6.715033333333334,4.0227,11.057529432063584,525.3003666666667,510.7463,271.22872581118605
3_3_1_Corn/Soybeans,1.7275795918367347,2.2821,1.3240165312379966,597.9219795918367,560.5818,209.7797630374353
3_3_1_Soybeans rotation,2.71138,2.676,2.668674906578169,453.83518000000004,383.1938,120.70743068998281
3_3_1_Soybeans/Perennial,0.7575,0.7575,0.5607356774809321,533.5205,533.5205,51.17939887278863
3_3_2_Corn/Soybeans,8.006467105263157,5.54695,7.329427979946008,557.361917763158,523.5623,174.70822822690366
3_3_2_Soybeans rotation,6.2804400000000005,5.3571,3.150647382364456,647.0208,574.835,188.37109653631836
4_1_1_Soybeans/Perennial,1.66075,1.66075,0.055932146391855876,299.2585,299.2585,24.98632522000783
4_1_2_Corn/Soybeans,8.36185,8.36185,2.586808737614747,449.23199999999997,449.23199999999997,6.285047913898482
4_2_1_Corn/Soybeans,3.0719,3.0719,3.7142905002166966,463.5939,463.5939,67.74521369971461
4_2_1_Soybeans rotation,1.2768000000000002,1.2768000000000002,1.2865100776908047,471.41864999999996,471.41864999999996,156.78417029740277
4_2_2_Corn/Soybeans,16.72821875,13.3177,12.44554574891321,404.00180624999996,351.36744999999996,133.90160380256077
