groupid,ofe_loss_2018-23_mean,ofe_loss_2018-23_median,ofe_loss_2018-23_std,runoff_2018-2023_mean,runoff_2018-2023_median,runoff_2018-2023_std
1_1_1_Continuous Soybeans,1.2773325,1.4644,0.7967340429107518,717.1428175,701.1882499999999,126.77742916856026
1_1_1_Corn rotation,1.68455,1.68455,0.44328524112584666,709.1056,709.1056,105.27561321797181
1_1_1_Corn/Soybeans,0.8394467780429594,1.415,4.607772189792144,657.958561097852,668.957,166.3301303697698
1_1_1_Perennial rotation,0.66395,0.5962,1.1240549734480665,648.5781,646.6604,129.26075338990827
1_1_1_Soybeans rotation,1.3151887640449438,1.6427,1.0113683528267987,654.2549359550561,698.7645,171.11602508483048
1_1_1_Soybeans/Perennial,0.41130999999999995,0.74085,1.0721696843835453,610.12258,668.1185499999999,191.77667647704072
1_1_1_Soybeans/Wheat,1.8375599999999999,1.95315,0.8539683811476863,977.0277399999999,1055.9687,211.26632090372038
1_1_2_Continuous Soybeans,2.472584493670886,2.7174,1.3568928926791655,715.9764905063291,706.6762,145.48971441458278
1_1_2_Corn rotation,2.679375,3.1731,1.8144183240842582,573.1472,640.18815,147.406255019971
1_1_2_Corn/Perennial,1.4553666666666667,2.0298,2.9355099290129023,612.6237666666667,745.3198,263.3426885478375
1_1_2_Corn/Soybeans,2.330155138199858,2.7358,2.0748806616849604,676.1032602409638,671.056,164.7134469876143
1_1_2_Perennial rotation,2.4313700000000003,2.3226500000000003,1.8192939302255575,637.01097,651.1989000000001,81.45911958327521
1_1_2_Soybeans rotation,2.681482802547771,2.9733,2.1825732703411083,694.7415611464968,677.063,158.9958596855909
1_1_2_Soybeans/Perennial,1.7431566666666667,1.8561,1.4724758026659661,664.8776633333333,675.10325,136.6254208321739
1_1_2_Soybeans/Wheat,1.9884076923076923,2.0773,2.097481414085926,684.9885461538462,630.0822,221.29773636182478
1_2_1_Continuous Soybeans,0.9845272727272728,1.4787,1.3629591445443145,555.9700681818182,547.4448500000001,69.3339096692396
1_2_1_Corn/Soybeans,1.1982579166666667,1.6111,1.1526909315246097,576.4006520833334,568.25335,109.74708738792246
1_2_1_Soybeans rotation,1.3569142857142857,1.8853,1.5064802956845187,581.6049952380953,571.4598,138.55576579362
1_2_1_Soybeans/Perennial,1.36406,1.772,1.0474425583295726,577.16992,591.8053,38.64741798085613
1_2_2_Continuous Soybeans,3.2191140000000003,3.3366499999999997,3.1435588414075917,545.4159139999999,550.1764499999999,85.121057619204
1_2_2_Corn rotation,2.936085714285714,3.381,2.172143424077219,702.7754714285713,727.1187,146.7846907936214
1_2_2_Corn/Perennial,0.43670000000000003,-0.2513,2.579944193194884,604.3048,608.228,19.920382424291006
1_2_2_Corn/Soybeans,2.597357142857143,2.9002,2.7326635388280986,568.2337869047619,565.3389999999999,132.11385380512206
1_2_2_Perennial rotation,2.5179777777777783,2.2839,2.6371208882879156,632.5892777777777,621.6063,91.03398629934561
1_2_2_Soybeans rotation,3.8097588235294118,3.3936,6.512553035797143,589.8554039215686,568.9543,126.94221051025377
1_2_2_Soybeans/Perennial,1.7383080000000002,1.5487,3.018209018871954,588.435108,541.4755,136.88721371999077
1_2_2_Soybeans/Wheat,2.0451,1.9798499999999999,2.2078006966209607,604.7465833333333,566.19345,133.9462573368501
1_2_3_Corn/Soybeans,5.60355,5.60355,1.4108901605015185,546.4231,546.4231,197.2553562079367
1_3_1_Continuous Soybeans,1.5714078125,1.8416000000000001,1.0873821011742983,593.17891875,573.94625,133.19071334484357
1_3_1_Corn rotation,1.8356071428571428,2.3476999999999997,1.693930651320625,661.9094285714285,647.9774,113.57353522748988
1_3_1_Corn/Soybeans,1.499887679799875,1.8187,1.0638578311377649,608.9586605378362,603.1313,127.9356981640538
1_3_1_Perennial rotation,1.2322666666666666,1.405,1.2122816911372813,516.8461666666666,492.629,112.9832418461192
1_3_1_Soybeans rotation,1.5732004237288135,1.95035,1.1319183277618683,618.2274055084746,601.8088,122.38822909661691
1_3_1_Soybeans/Perennial,1.397923076923077,1.5617,0.7742787401486326,613.1328115384615,570.1123,113.36281900568396
1_3_1_Soybeans/Wheat,1.79245,2.1727,1.1896861020173908,617.2485,625.0536999999999,163.4322380385788
1_3_2_Continuous Soybeans,3.2388024096385544,3.3769,2.3236628317855805,565.4029640275387,560.9898,128.75266742963686
