groupid,ofe_loss_2018-23_mean,ofe_loss_2018-23_median,ofe_loss_2018-23_std,runoff_2018-2023_mean,runoff_2018-2023_median,runoff_2018-2023_std
1_1_2_Perennial rotation,0.2653,0.2653,0.03521391770309009,105.95394999999999,105.95394999999999,2.9016126765990107
1_2_2_Perennial rotation,0.3299,0.3299,0.11978388873300118,124.77324999999999,124.77324999999999,28.39069081803049
1_3_1_Corn rotation,0.1077,0.010300000000000004,0.349969541531831,155.0765,150.48175,30.70315919130582
1_3_2_Corn/Perennial,0.14765,0.14765,0.012798632739476514,113.77275,113.77275,0.8693877874688613
1_3_2_Perennial rotation,0.13716,0.1422,0.2760836274271499,134.00231000000002,130.4043,47.36443035308364
2_3_2_Perennial rotation,0.1970333333333333,0.3807,0.535840019657609,102.21363333333333,121.0503,39.29066525166845
3_3_2_Perennial rotation,0.79495,0.79495,0.18618121548641797,144.5701,144.5701,31.93874051399021
