groupid,ofe_loss_2018-23_mean,ofe_loss_2018-23_median,ofe_loss_2018-23_std,runoff_2018-2023_mean,runoff_2018-2023_median,runoff_2018-2023_std
1_1_1_Continuous Corn,0.20935,0.1855,0.23369857366559457,241.95417500000002,252.3297,91.82850279850928
1_1_1_Continuous Soybeans,0.006457142857142856,0.0124,0.05241532400430423,52.06447142857143,33.2453,59.829600539050745
1_1_1_Corn rotation,-0.3318111111111111,0.0324,0.9932468404737621,76.18804444444444,60.2142,59.35881007582427
1_1_1_Corn/Perennial,0.05063333333333333,-0.0523,0.20391668233210672,158.48333333333332,100.1778,118.04547205959801
1_1_1_Corn/Soybeans,0.09189504132231406,0.06135,0.2675072682461563,113.13330454545454,55.0199,115.31470701912544
1_1_1_Perennial rotation,-0.034542857142857146,0.024,0.1305955698220382,37.74498571428571,23.7638,36.675307020547606
1_1_1_Soybeans rotation,0.09409999999999999,0.0969,0.1749390707118866,63.85342857142857,36.670249999999996,100.59416995649421
1_1_1_Soybeans/Perennial,0.007450000000000001,0.014100000000000001,0.0874113678088967,24.38089,23.950249999999997,16.094222350441306
1_1_2_Continuous Corn,0.2106125,0.1724,0.3213890982059786,116.17299583333333,70.12105,91.51737689254753
1_1_2_Continuous Soybeans,0.05743529411764706,0.1356,0.33144688854546606,51.38360588235294,35.1035,39.57234019186366
1_1_2_Corn rotation,0.09631864406779661,0.1375,0.4578486301111771,117.2705779661017,62.0832,102.78754538472676
1_1_2_Corn/Perennial,0.26689206349206346,0.17,0.42277024161364574,161.54728095238096,159.2525,114.05213540588873
1_1_2_Corn/Soybeans,0.16123697478991594,0.1386,0.7142804044822844,128.31955774309725,69.7947,117.0167919275984
1_1_2_Perennial rotation,0.2334974358974359,0.1731,0.39044405252372216,116.13399743589744,63.7932,108.47262164082181
1_1_2_Soybeans rotation,0.20099615384615382,0.151,0.42232589262868475,80.20731153846154,48.28830000000001,90.80129482481327
1_1_2_Soybeans/Perennial,0.056912698412698415,0.092,0.39802080975426374,66.7860873015873,42.49,65.2182314074768
1_1_3_Continuous Corn,0.40187479674796744,0.4,0.6760023472887629,126.24082032520325,87.2543,86.72623474786602
1_1_3_Corn rotation,0.2816772727272727,0.28565,0.5300487515445972,83.67867424242424,72.4476,57.92128277507276
1_1_3_Corn/Perennial,0.27506296296296295,0.353,0.6504653385965953,170.97465555555556,166.96185,79.26224738439815
1_1_3_Corn/Soybeans,0.3505651026392962,0.32775,0.7906549735747799,130.1806724340176,87.05075,99.34911119882722
1_1_3_Perennial rotation,0.009483333333333344,0.054900000000000004,0.3843849238285324,74.83601666666667,36.925,84.95384240436489
1_1_3_Soybeans rotation,0.37011111111111117,0.3599,0.48661154539438445,77.24961111111111,61.6287,59.687873598337475
1_1_3_Soybeans/Perennial,0.0699,-0.00025,0.1567873336720795,33.5901,32.14125,7.902247752886515
1_1_3_Soybeans/Wheat,0.38572,0.3905,0.049202001991788924,125.40374,155.1795,47.85626742740181
1_2_1_Corn/Soybeans,0.156825,0.22455,0.5088477348949215,304.0969875,311.5011,37.87867169315795
1_2_1_Soybeans/Perennial,0.24509999999999998,0.24509999999999998,0.14396694064958107,230.23360000000002,230.23360000000002,18.288468367252616
1_2_2_Continuous Corn,0.8381666666666666,0.9386,0.2216302401147762,227.50300000000001,228.2385,35.94089471270853
1_2_2_Corn rotation,0.57075,0.58995,0.15602359757421316,175.13531666666665,157.22674999999998,36.192420012782605
1_2_2_Corn/Perennial,0.10896666666666661,0.4861,0.8555109436276469,227.91925,244.90675,44.156809080672936
1_2_2_Corn/Soybeans,0.37809157894736845,0.4452,0.667231119909091,216.8080505263158,233.2702,85.30608635586586
1_2_2_Perennial rotation,0.09766,0.415,0.6575056866674234,219.58577999999997,260.6818,116.15342804003677
1_2_2_Soybeans/Wheat,-0.12780000000000002,-0.12780000000000002,1.0236077764456462,256.43399999999997,256.43399999999997,5.991315756993647
1_2_3_Continuous Corn,0.9966777777777778,1.1084,0.4513621516525776,191.95874444444445,196.3167,80.55537844771928
1_2_3_Corn/Perennial,-0.11875000000000002,-0.11875000000000002,1.3205219138658775,138.01125000000002,138.01125000000002,79.47562022485259
1_2_3_Corn/Soybeans,0.560488,0.561,0.7815838168531042,166.669548,184.8647,78.61510341383794
1_2_3_Soybeans/Perennial,-0.007,-0.001,0.020523969726476732,31.54835,30.310850000000002,5.286221268228058
1_2_3_Soybeans/Wheat,0.8280666666666666,0.8529,0.09491850890808046,212.79103333333333,212.5068,5.961234290256788
1_3_1_Corn/Soybeans,0.26466451612903225,0.3465,0.5296437397272417,239.84883548387097,231.7262,86.09870441186887
1_3_2_Corn rotation,0.08187499999999999,-0.041400000000000006,0.37679196183039787,198.491575,212.6458,66.7198487779249
1_3_2_Corn/Soybeans,0.3157312,0.4058,0.7011257099808342,198.5299624,182.6407,80.3259602998767
1_3_3_Continuous Corn,-0.007350000000000004,-0.07395,0.6681495645104885,219.60014,234.95265,71.2129756747899
1_3_3_Corn rotation,0.6834999999999999,1.0917,0.782951077654281,195.76323333333335,196.7045,2.2362640638648585
1_3_3_Corn/Perennial,0.21745,0.16825,0.6124405304462902,180.434525,160.55970000000002,70.48216546537974
1_3_3_Corn/Soybeans,0.4476271186440678,0.5175,0.8577609945285797,186.2025186440678,176.4205,67.45055046965754
1_3_3_Soybeans rotation,1.0070000000000001,1.0070000000000001,0.0011313708498985869,190.18145,190.18145,0.7428156736364678
1_3_3_Soybeans/Wheat,-0.08614,-0.1918,0.5078758490024899,145.03194,137.8278,24.988801010912866
2_1_1_Continuous Corn,0.23405,0.25815,0.36482130831408416,184.05516666666668,195.98305,125.95054955857344
2_1_1_Continuous Soybeans,0.144075,0.154,0.3109321509590155,140.01105,132.54935,107.59224638979954
